id,distr,street,starea,gymd,squd,kinded,primd,highd,hospd,clinid,medicad,busd,subd,ndis,malld,superd,foodd,popud,jobd,trader,amuser,healthr,edur,degree,year,volume,green,houset,bedr,liv,restr,area,direct,type,x,y,price,rent
2,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,7364.74722123169,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,23,0.8,0.4,2室2厅1卫,2,2,1,100,6,1,116.325449,39.51776,1900,19
3,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,7364.74722123169,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,23,0.8,0.4,2室1厅1卫,2,1,1,86,1,1,116.325449,39.51776,1500,17.4418604651163
4,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,7364.74722123169,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,23,0.8,0.4,2室1厅1卫,2,1,1,78,6,1,116.325449,39.51776,1500,19.2307692307692
5,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,2室2厅1卫,2,2,1,89,6,1,116.3142499,39.5181185,1799,20.2134831460674
6,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,2室1厅1卫,2,1,1,89.5,6,1,116.3142499,39.5181185,1700,18.9944134078212
7,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,1室1厅1卫,1,1,1,53,5,1,116.3142499,39.5181185,1500,28.3018867924528
8,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,2室1厅1卫,2,1,1,89,6,1,116.3142499,39.5181185,1800,20.2247191011236
9,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,2室2厅1卫,2,2,1,89.5,6,1,116.3142499,39.5181185,1800,20.1117318435754
10,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,2室1厅1卫,2,1,1,79.1,5,1,116.3142499,39.5181185,1700,21.4917825537295
11,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,2室2厅1卫,2,2,1,88,6,1,116.3142499,39.5181185,1700,19.3181818181818
12,大兴区,榆垡镇,132.08293730995,0.0454260037079597,0.0302840024719731,0.00757100061799329,0.052997004325953,0.0227130018539799,0.0681390055619396,0.0757100061799329,0.143849011741872,0.651106053147423,0,8325.8655053667,0,0.174133014213846,0.242272019775785,543.688696379334,80.2526065507288,0.260972391302229,0.00151420012359866,0.0105994008651906,0.19184915565995,0.316127513599,19,1.4,0.3,2室1厅1卫,2,1,1,89.5,6,1,116.3142499,39.5181185,1700,18.9944134078212
